100	85	90	79	94	
91	78	93	84	89	
86	99	82	95	80	
77	92	97	88	83	
98	87	76	81	96	

100	87	92	79	98	
83	78	99	86	91	
88	93	84	97	80	
77	82	95	90	85	
94	89	76	81	96	

94	87	92	79	96	
83	78	95	86	91	
88	93	84	97	80	
77	82	99	90	85	
100	89	76	81	98	

98	89	84	79	96	
83	78	97	92	85	
88	99	90	95	80	
77	82	93	86	91	
100	87	76	81	94	

100	89	84	79	98	
83	78	99	92	85	
88	93	90	97	80	
77	82	95	86	91	
94	87	76	81	96	

94	89	84	79	96	
83	78	95	92	85	
88	93	90	97	80	
77	82	99	86	91	
100	87	76	81	98	

98	91	84	79	96	
83	78	97	90	85	
92	99	88	95	80	
77	82	93	86	89	
100	87	76	81	94	

100	91	84	79	94	
83	78	93	90	85	
92	99	88	95	80	
77	82	97	86	89	
98	87	76	81	96	

100	89	84	79	94	
83	78	93	88	85	
90	99	86	95	80	
77	82	97	92	87	
98	91	76	81	96	

100	89	84	79	98	
83	78	99	88	85	
90	93	86	97	80	
77	82	95	92	87	
94	91	76	81	96	

94	89	84	79	96	
83	78	95	88	85	
90	93	86	97	80	
77	82	99	92	87	
100	91	76	81	98	

98	83	88	79	96	
89	78	97	82	87	
84	99	80	95	92	
77	90	93	86	81	
100	85	76	91	94	

100	83	88	79	94	
89	78	93	82	87	
84	99	80	95	92	
77	90	97	86	81	
98	85	76	91	96	

98	81	86	91	96	
87	92	97	80	85	
82	99	78	95	90	
77	88	93	84	79	
100	83	76	89	94	

98	79	88	83	96	
87	82	97	78	89	
92	99	80	95	84	
81	86	93	90	77	
100	91	76	85	94	

100	79	88	83	94	
87	82	93	78	89	
92	99	80	95	84	
81	86	97	90	77	
98	91	76	85	96	

100	79	90	85	94	
89	84	93	78	91	
80	99	82	95	86	
83	88	97	92	77	
98	81	76	87	96	

100	79	90	85	98	
89	84	99	78	91	
80	93	82	97	86	
83	88	95	92	77	
94	81	76	87	96	

94	79	90	85	96	
89	84	95	78	91	
80	93	82	97	86	
83	88	99	92	77	
100	81	76	87	98	

100	79	92	87	98	
91	86	99	78	83	
80	93	84	97	88	
85	90	95	82	77	
94	81	76	89	96	

94	79	92	87	96	
91	86	95	78	83	
80	93	84	97	88	
85	90	99	82	77	
100	81	76	89	98	

98	79	84	91	96	
85	90	97	78	83	
80	99	88	95	92	
89	86	93	82	77	
100	81	76	87	94	

100	79	84	91	94	
85	90	93	78	83	
80	99	88	95	92	
89	86	97	82	77	
98	81	76	87	96	

98	79	84	89	96	
85	92	97	78	83	
80	99	90	95	88	
91	86	93	82	77	
100	81	76	87	94	

100	79	84	89	94	
85	88	93	78	83	
80	99	86	95	90	
87	92	97	82	77	
98	81	76	91	96	

98	91	86	81	96	
85	80	97	92	87	
90	99	78	95	82	
79	84	93	88	77	
100	89	76	83	94	

100	91	86	81	98	
85	80	99	92	87	
90	93	78	97	82	
79	84	95	88	77	
94	89	76	83	96	

94	91	86	81	96	
85	80	95	92	87	
90	93	78	97	82	
79	84	99	88	77	
100	89	76	83	98	

