21	10	15	4	19	100	85	90	79	94	
16	5	20	9	14	91	78	93	84	89	
11	22	3	18	1	86	99	82	95	80	
6	17	24	13	8	77	92	97	88	83	
23	12	7	2	25	98	87	76	81	96	
46	31	26	37	48	69	54	65	60	75	
33	38	47	42	27	64	59	68	55	66	
30	45	32	49	36	51	70	53	74	61	
39	34	43	28	41	58	63	72	67	56	
44	29	40	35	50	71	52	57	62	73	

21	12	17	6	19	100	87	92	79	98	
4	7	20	11	16	83	78	99	86	91	
13	22	5	18	1	88	93	84	97	80	
8	3	24	15	10	77	82	95	90	85	
23	14	9	2	25	94	89	76	81	96	
44	31	26	37	50	75	54	65	60	69	
41	36	43	32	27	64	59	68	55	66	
30	45	40	49	38	51	74	53	70	61	
35	42	47	28	33	58	63	72	67	56	
46	29	34	39	48	73	52	57	62	71	

19	12	17	6	21	94	87	92	79	96	
4	7	20	11	16	83	78	95	86	91	
13	18	5	22	1	88	93	84	97	80	
8	3	24	15	10	77	82	99	90	85	
25	14	9	2	23	100	89	76	81	98	
48	31	26	37	50	75	54	65	60	73	
41	36	49	32	27	64	59	74	55	66	
30	47	40	43	38	51	68	53	72	61	
35	42	45	28	33	58	63	70	67	56	
46	29	34	39	44	69	52	57	62	71	

23	10	5	12	21	98	89	84	79	96	
4	13	22	17	6	83	78	97	92	85	
9	24	11	20	1	88	99	90	95	80	
14	3	18	7	16	77	82	93	86	91	
25	8	15	2	19	100	87	76	81	94	
46	31	26	37	44	73	56	67	62	75	
41	36	45	32	27	66	61	74	57	54	
30	47	40	43	38	51	72	55	68	63	
35	42	49	28	33	60	65	70	53	58	
48	29	34	39	50	71	52	59	64	69	

21	10	5	12	23	100	89	84	79	98	
4	13	22	17	6	83	78	99	92	85	
9	20	11	24	1	88	93	90	97	80	
14	3	18	7	16	77	82	95	86	91	
19	8	15	2	25	94	87	76	81	96	
46	31	26	37	48	75	56	67	62	73	
39	36	47	32	27	66	61	74	57	54	
30	45	38	49	42	51	68	55	72	63	
35	40	43	28	33	60	65	70	53	58	
44	29	34	41	50	69	52	59	64	71	

19	10	5	12	21	94	89	84	79	96	
4	13	20	17	6	83	78	95	92	85	
9	18	11	22	1	88	93	90	97	80	
14	3	24	7	16	77	82	99	86	91	
25	8	15	2	23	100	87	76	81	98	
44	31	26	37	50	69	60	55	66	75	
39	36	43	32	27	56	65	68	61	54	
30	45	38	49	42	51	70	59	74	67	
35	40	47	28	33	64	57	72	53	62	
46	29	34	41	48	71	52	63	58	73	

23	10	5	16	21	98	91	84	79	96	
4	17	22	11	6	83	78	97	90	85	
9	24	15	20	1	92	99	88	95	80	
14	3	18	7	12	77	82	93	86	89	
25	8	13	2	19	100	87	76	81	94	
46	31	26	41	48	75	60	55	66	69	
37	42	47	32	27	56	65	68	61	54	
30	45	36	49	40	51	74	59	70	67	
35	38	43	28	33	64	57	72	53	62	
44	29	34	39	50	73	52	63	58	71	

21	10	5	16	23	100	91	84	79	94	
4	17	22	11	6	83	78	93	90	85	
9	20	15	24	1	92	99	88	95	80	
14	3	18	7	12	77	82	97	86	89	
19	8	13	2	25	98	87	76	81	96	
48	31	26	41	50	73	62	55	60	75	
37	42	49	32	27	56	67	74	63	54	
30	47	36	43	40	51	72	61	68	59	
35	38	45	28	33	66	57	70	53	64	
46	29	34	39	44	71	52	65	58	69	

21	10	5	16	19	100	89	84	79	94	
4	17	20	11	6	83	78	93	88	85	
9	22	15	18	1	90	99	86	95	80	
14	3	24	7	12	77	82	97	92	87	
23	8	13	2	25	98	91	76	81	96	
46	31	26	41	44	75	66	55	60	73	
37	42	45	32	27	56	61	74	67	54	
30	47	36	43	40	51	68	65	72	59	
35	38	49	28	33	62	57	70	53	64	
48	29	34	39	50	69	52	63	58	71	

19	10	5	14	21	100	89	84	79	98	
4	15	20	11	6	83	78	99	88	85	
9	18	13	22	1	90	93	86	97	80	
16	3	24	7	12	77	82	95	92	87	
25	8	17	2	23	94	91	76	81	96	
48	31	26	39	50	75	64	55	60	73	
35	40	49	32	27	56	61	74	65	54	
30	47	34	43	38	51	68	63	72	59	
41	36	45	28	33	62	57	70	53	66	
46	29	42	37	44	69	52	67	58	71	

21	10	5	14	19	94	89	84	79	96	
4	15	20	11	6	83	78	95	88	85	
9	22	13	18	1	90	93	86	97	80	
16	3	24	7	12	77	82	99	92	87	
23	8	17	2	25	100	91	76	81	98	
46	31	26	39	44	73	64	55	60	75	
35	40	45	32	27	56	61	74	65	54	
30	47	34	43	38	51	72	63	68	59	
41	36	49	28	33	62	57	70	53	66	
48	29	42	37	50	71	52	67	58	69	

23	16	5	10	21	98	83	88	79	96	
4	11	22	15	6	89	78	97	82	87	
17	24	9	20	1	84	99	80	95	92	
12	3	18	7	14	77	90	93	86	81	
25	8	13	2	19	100	85	76	91	94	
46	41	26	35	48	69	58	55	64	75	
31	36	47	40	27	56	63	68	59	54	
42	45	30	49	34	51	70	57	74	65	
37	32	43	28	39	62	67	72	53	60	
44	29	38	33	50	71	52	61	66	73	

21	16	5	10	23	100	83	88	79	94	
4	11	22	15	6	89	78	93	82	87	
17	20	9	24	1	84	99	80	95	92	
12	3	18	7	14	77	90	97	86	81	
19	8	13	2	25	98	85	76	91	96	
44	41	26	35	50	75	58	55	64	69	
31	36	43	40	27	56	63	68	59	54	
42	45	30	49	34	51	74	57	70	65	
37	32	47	28	39	62	67	72	53	60	
46	29	38	33	48	73	52	61	66	71	

19	14	5	8	21	98	81	86	91	96	
4	9	20	13	6	87	92	97	80	85	
15	18	7	22	1	82	99	78	95	90	
10	3	24	17	12	77	88	93	84	79	
25	16	11	2	23	100	83	76	89	94	
44	39	26	33	50	73	58	55	64	75	
29	34	43	38	27	56	63	74	59	54	
40	45	28	49	32	51	72	57	68	65	
35	30	47	42	37	62	67	70	53	60	
46	41	36	31	48	71	52	61	66	69	

23	12	7	2	21	98	79	88	83	96	
6	17	22	13	8	87	82	97	78	89	
11	24	3	20	1	92	99	80	95	84	
16	5	18	9	14	81	86	93	90	77	
25	10	15	4	19	100	91	76	85	94	
46	35	26	41	48	75	52	57	62	73	
27	40	47	36	31	58	63	74	67	56	
34	45	30	49	42	51	68	53	72	61	
39	28	43	32	37	64	59	70	55	66	
44	33	38	29	50	69	54	65	60	71	

21	12	7	2	23	100	79	88	83	94	
6	17	22	13	8	87	82	93	78	89	
11	20	3	24	1	92	99	80	95	84	
16	5	18	9	14	81	86	97	90	77	
19	10	15	4	25	98	91	76	85	96	
44	35	26	41	50	69	52	65	58	75	
27	40	43	36	31	66	57	68	53	64	
34	45	30	49	42	51	70	61	74	59	
39	28	47	32	37	56	67	72	63	54	
46	33	38	29	48	71	62	55	60	73	

21	12	7	2	19	100	79	90	85	94	
6	17	20	13	8	89	84	93	78	91	
11	22	3	18	1	80	99	82	95	86	
16	5	24	9	14	83	88	97	92	77	
23	10	15	4	25	98	81	76	87	96	
46	37	26	31	48	75	52	65	58	69	
27	42	47	38	33	66	57	68	53	64	
36	45	32	49	30	51	74	61	70	59	
41	28	43	34	39	56	67	72	63	54	
44	35	40	29	50	73	62	55	60	71	

23	8	13	2	21	100	79	90	85	98	
12	3	22	7	14	89	84	99	78	91	
17	24	9	20	1	80	93	82	97	86	
4	11	18	15	6	83	88	95	92	77	
25	16	5	10	19	94	81	76	87	96	
48	37	26	31	50	73	52	65	58	75	
27	42	49	38	33	66	57	74	53	64	
36	47	32	43	30	51	72	61	68	59	
41	28	45	34	39	56	67	70	63	54	
46	35	40	29	44	71	62	55	60	69	

21	8	13	2	23	94	79	90	85	96	
12	3	22	7	14	89	84	95	78	91	
17	20	9	24	1	80	93	82	97	86	
4	11	18	15	6	83	88	99	92	77	
19	16	5	10	25	100	81	76	87	98	
46	37	26	31	44	73	52	67	58	75	
27	42	45	38	33	62	57	74	53	66	
36	47	32	43	30	51	72	63	68	59	
41	28	49	34	39	56	61	70	65	54	
48	35	40	29	50	71	64	55	60	69	

19	8	15	2	21	100	79	92	87	98	
14	3	20	7	16	91	86	99	78	83	
9	18	11	22	1	80	93	84	97	88	
4	13	24	17	6	85	90	95	82	77	
25	10	5	12	23	94	81	76	89	96	
46	37	26	31	48	75	52	67	58	73	
27	32	47	36	39	62	57	74	53	66	
42	45	38	49	30	51	68	63	72	59	
33	28	43	40	35	56	61	70	65	54	
44	41	34	29	50	69	64	55	60	71	

21	8	17	2	19	94	79	92	87	96	
16	3	20	7	12	91	86	95	78	83	
9	22	13	18	1	80	93	84	97	88	
4	15	24	11	6	85	90	99	82	77	
23	10	5	14	25	100	81	76	89	98	
44	37	26	31	50	69	52	63	58	75	
27	32	43	36	39	62	57	68	53	64	
42	45	38	49	30	51	70	65	74	59	
33	28	47	40	35	56	61	72	67	54	
46	41	34	29	48	71	66	55	60	73	

19	8	17	2	21	98	79	84	91	96	
16	3	20	7	12	85	90	97	78	83	
9	18	13	22	1	80	99	88	95	92	
4	15	24	11	6	89	86	93	82	77	
25	10	5	14	23	100	81	76	87	94	
44	37	26	31	50	75	52	63	58	69	
27	32	43	36	41	62	57	68	53	64	
38	45	40	49	30	51	74	65	70	59	
33	28	47	42	35	56	61	72	67	54	
46	39	34	29	48	73	66	55	60	71	

21	8	13	2	19	100	79	84	91	94	
14	3	20	7	12	85	90	93	78	83	
9	22	15	18	1	80	99	88	95	92	
4	17	24	11	6	89	86	97	82	77	
23	10	5	16	25	98	81	76	87	96	
46	41	26	31	48	75	52	63	58	73	
27	32	47	42	37	62	57	74	53	64	
40	45	36	49	30	51	68	65	72	59	
33	28	43	38	35	56	61	70	67	54	
44	39	34	29	50	69	66	55	60	71	

23	16	11	2	21	98	79	84	89	96	
10	3	22	17	12	85	92	97	78	83	
15	24	7	20	1	80	99	90	95	88	
4	9	18	13	6	91	86	93	82	77	
25	14	5	8	19	100	81	76	87	94	
