21	10	15	4	19	
16	5	20	9	14	
11	22	3	18	1	
6	17	24	13	8	
23	12	7	2	25	

21	12	17	6	19	
4	7	20	11	16	
13	22	5	18	1	
8	3	24	15	10	
23	14	9	2	25	

19	12	17	6	21	
4	7	20	11	16	
13	18	5	22	1	
8	3	24	15	10	
25	14	9	2	23	

23	10	5	12	21	
4	13	22	17	6	
9	24	11	20	1	
14	3	18	7	16	
25	8	15	2	19	

21	10	5	12	23	
4	13	22	17	6	
9	20	11	24	1	
14	3	18	7	16	
19	8	15	2	25	

19	10	5	12	21	
4	13	20	17	6	
9	18	11	22	1	
14	3	24	7	16	
25	8	15	2	23	

23	10	5	16	21	
4	17	22	11	6	
9	24	15	20	1	
14	3	18	7	12	
25	8	13	2	19	

21	10	5	16	23	
4	17	22	11	6	
9	20	15	24	1	
14	3	18	7	12	
19	8	13	2	25	

21	10	5	16	19	
4	17	20	11	6	
9	22	15	18	1	
14	3	24	7	12	
23	8	13	2	25	

19	10	5	14	21	
4	15	20	11	6	
9	18	13	22	1	
16	3	24	7	12	
25	8	17	2	23	

21	10	5	14	19	
4	15	20	11	6	
9	22	13	18	1	
16	3	24	7	12	
23	8	17	2	25	

23	16	5	10	21	
4	11	22	15	6	
17	24	9	20	1	
12	3	18	7	14	
25	8	13	2	19	

21	16	5	10	23	
4	11	22	15	6	
17	20	9	24	1	
12	3	18	7	14	
19	8	13	2	25	

19	14	5	8	21	
4	9	20	13	6	
15	18	7	22	1	
10	3	24	17	12	
25	16	11	2	23	

23	12	7	2	21	
6	17	22	13	8	
11	24	3	20	1	
16	5	18	9	14	
25	10	15	4	19	

21	12	7	2	23	
6	17	22	13	8	
11	20	3	24	1	
16	5	18	9	14	
19	10	15	4	25	

21	12	7	2	19	
6	17	20	13	8	
11	22	3	18	1	
16	5	24	9	14	
23	10	15	4	25	

23	8	13	2	21	
12	3	22	7	14	
17	24	9	20	1	
4	11	18	15	6	
25	16	5	10	19	

21	8	13	2	23	
12	3	22	7	14	
17	20	9	24	1	
4	11	18	15	6	
19	16	5	10	25	

19	8	15	2	21	
14	3	20	7	16	
9	18	11	22	1	
4	13	24	17	6	
25	10	5	12	23	

21	8	17	2	19	
16	3	20	7	12	
9	22	13	18	1	
4	15	24	11	6	
23	10	5	14	25	

19	8	17	2	21	
16	3	20	7	12	
9	18	13	22	1	
4	15	24	11	6	
25	10	5	14	23	

21	8	13	2	19	
14	3	20	7	12	
9	22	15	18	1	
4	17	24	11	6	
23	10	5	16	25	

23	16	11	2	21	
10	3	22	17	12	
15	24	7	20	1	
4	9	18	13	6	
25	14	5	8	19	

21	16	11	2	23	
10	3	22	17	12	
15	20	7	24	1	
4	9	18	13	6	
19	14	5	8	25	

19	16	11	2	21	
10	3	20	17	12	
15	18	7	22	1	
4	9	24	13	6	
25	14	5	8	23	

19	14	9	2	21	
8	3	20	15	10	
13	18	5	22	1	
4	7	24	11	16	
25	12	17	6	23	

21	14	9	2	19	
8	3	20	15	10	
13	22	5	18	1	
4	7	24	11	16	
23	12	17	6	25	

